1,00:00:00.00,00:00:16.54,"བུ་མོ་ གཉིས་ཅིག་ དང་ ། ཨ་ནི་ བུ་ གཉིས་ཅིག་ འདུག  ཨ་ནི་ འོ་ དེ་ཚོ །  
ཁོང་ཚོ་ མོ་ཊ་ དང་ སྤྱི་སྤྱོད་རླངས་འཁོར ། Auto དང་ ། 
ཁོང་ཚོ་ ཨ་ནི་ ཅ་ལག་ འདྲ་མི་འདྲ་ དེ་ཚོ་ ལ་ ལྟ་བསྡད་ བཞག ","There's a couple of girls, and a couple of boys. And there's... they have a car and a bus and an auto and... they're looking at their things. "
2,00:00:16.54,00:00:19.25,ཨ་ནི རྗེས་ལ་ འོག་ལ་ ཨ་ནི་,"And later, under... and..."
3,00:00:19.25,00:00:21.41,འོ་ ཁོང་ཚོ་ ཅིག དངོས་གནས་ ,"Oh, they really... "
4,00:00:21.41,00:00:30.40,"སྒང་ལ་ ཨ་ནི ཁོང་ཚོ་ གཅིག་ རྩེད་མོ་ རྩེ་ཡ་ རྫུས་མ་ རྫུས་མ་ བྲིས་ བཞག་ འདུག་ག
འོག་ལ ། 
ཨ་ནི་ དངོས་གནས་ པར་ བརྒྱབ་ རྒྱོག་ རེད་འདུག་ག །",on top of... and 
5,00:00:30.40,00:00:33.89,"ཨ་ནི་ རྗེས་ལ ། 
ཨ་ནི་ འོག་ལ་ བུ་མོ་ ཞིག་ ཁོང་ཚོ་ ","And later, and under, a girl, they... "
6,00:00:33.89,00:00:41.02,"འགོ་ ནས་ ལྟ་བསྡད་ འདུག་ག  
ཨ་ནི་ ཁོང་ཚོས་ རྫེས་ལ་ ལམ་ཁ་ འགྲོ་ བཟོས་ བྱས་ ནས་ 
ཨ་ནི་ ཁོང་ཚོས་ མོ་ཊ་ ལྗང་ཁུ་ དེ་ དང་ ། ཨ་ནི་   ","They're looking. And they make a road, and they, a green car, and.. "
7,00:00:41.02,00:00:49.87,"Auto སེར་བོ་ དེ་ རྩེད་མོ་ རྩེ་བསྡད་ རེད །  ཨ་ནི་ བུ་ གཉིས་ དེ་ གཅིག་པ་གཅིག་ཀྱང་ ཁོང་ཚོ་ སྤྱི་སྤྱོད་རླངས་འཁོར་ དང་ truck 
རྩེད་མོ་ རྩེ་ ནས་ ཕར་ ཚུར་ འགྲོ་བསྡད་ ཡོད་རེད ། ","a yellow auto and they're playing. And the two boys, they're the same, they're going back and forth, playing with a bus and a truck. "
8,00:00:49.87,00:00:56.61,"རྗེས་ལ ། 
ཨ་ནི་ ཁྱི་ གཅིག་ སླེབས་ རེད ། ཁོང་ཚོའི་ ནང་ག་ ཁྱི གཅིག་ ། 
ཁོང་ཚོ་ རྒྱུག་ཤར་ གློད་ ནས་ སླད་ བཞག །","Later, and, a dog comes. Their pet dog. As they are racing. "
9,00:00:56.61,00:01:03.10,ཨ་ནི་ ཁོང་ཚོ་ འགྲོ་ དུས་ ལ ། ཁོང་ཚོ་ racing car འགྲན་སྡུར་ བྱེད་ འདུག་ག ། ,"And as they're going, as they're racing their racing cars."
10,00:01:03.10,00:01:06.91,"
ཨ་ནི་ ཁོང་ཚོ་ ཁྱི་ དེ་ མཉམ་པོ་ འགྲོ་ག་ བྱས་ འདུག་ག ། ",And their dog goes there too. 
11,00:01:06.91,00:01:14.61,ཨ་ནི་ ཁྱི་ ཐོབ་ ཡོད་པ་ འདྲ་བོ་ འདུག,And it's like the dog won.
