འཕགས་པ་བྱམས་པས་ཞུས་པ་ཞེས་བྱ་བ་	The Question of Maitreya
﻿ ཐེག་པ་ཆེན་པོའི་མདོ།	The Noble Mahāyāna Sūtra
སངས་རྒྱས་དང་།  བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ།	Homage to all the buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན།	Thus have I heard at one time.
བཅོམ་ལྡན་འདས་ཡུལ་བརྒ་ན་ཆུ་སྲིན་བྱིས་པ་གསོད་ལྟ་བུའི་རི་འཇིགས་སུ་རུང་བའི་ནགས་རི་དགས་ཀྱི་ནགས་ན་	The Blessed One was staying in the Country of the Bhargas, on Mount Śuśumāra in a fearsome forest of wild animals,
དགེ་སློང་ལྔ་བརྒྱ་ཙམ་གྱི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་མངོན་པར་ཤེས་པ་མངོན་པར་ཤེས་པ་གནས་བརྟན་ཉན་ཐོས་ཆེན་པོ་ཤ་སྟག་ལ།	eminent śrāvaka-elders who possessed clairvoyance.
འདི་ལྟ་སྟེ།	These included
ཚེ་དང་ལྡན་པ་ཀུན་ཤེས་ཀཽ་ཌི་ནྱ་དང་།	the omniscient venerable Kauṇḍinya,
ཚེ་དང་ལྡན་པ་རྟ་ཐུལ་དང་།	and the venerables Aśvajit,
ཚེ་དང་ལྡན་པ་རླངས་པ་དང་།	Vaṣpa,
ཚེ་དང་ལྡན་པ་མིང་ཆེན་དང་།	Mahānāman,
ཚེ་དང་ལྡན་པ་བཟང་ལྡན་དང་།	Bhadrika,
ཚེ་དང་ལྡན་པ་དྲི་མ་མེད་དང་།	Vimala,
ཚེ་དང་ལྡན་པ་གང་པོ་དང་།	Pūrṇa,
ཚེ་དང་ལྡན་པ་བ་ལང་བདག་དང་།	Gavāṃpati,
ཚེ་དང་ལྡན་པ་རི་དགས་མགོ་དང་།	Mṛgaśiras,
ཚེ་དང་ལྡན་པ་ལྟེང་རྒྱས་འོད་སྲུང་དང་།	Uruvilva Kāśyapa,
ཚེ་དང་ལྡན་པ་ཆུ་ཀླུང་འོད་སྲུང་དང་།	Nadī Kāśyapa,
ཚེ་དང་ལྡན་པ་ག་ཡ་འོད་སྲུང་དང་།	Gayā Kāśyapa,
ཚེ་དང་ལྡན་པ་བྱིན་པ་འོད་སྲུང་དང་།	Jaṅghā Kāśyapa,
ཚེ་དང་ལྡན་པ་འོད་སྲུང་ཆེན་པོ་དང་།	Mahākāśyapa,
ཚེ་དང་ལྡན་པ་དོན་ཡོད་རྒྱལ་པོ་དང་།	Amogharāja,
ཚེ་དང་ལྡན་པ་བློ་གྲོས་བཟང་དང་།	Sumati,
ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་དང་།	Śāriputra,
ཚེ་དང་ལྡན་པ་མཽད་གལ་གྱི་བུ་ཆེན་པོ་དང་།	the eminent Maudgalyāyana,
